# CSV extrait du fichier Numbers projets-modal.numbers
# Tel que modifié par l'utilisateur
id;title;description;client;category;tags;youtubeId;aspectRatio;videoUrl
wtc-ads-j1-alaska;Ad WhenToCop?;;McSkyz;reseaux-sociaux;reseaux-sociaux;MgNQNen7NCE;9:16;https://youtube.com/shorts/MgNQNen7NCE
lfh-bismarck-map-1;Review J1 Alaska;;;youtube;;;16:9;
contes-etrange;Les CONTES de l'ÉTRANGE : HORREUR sur YOUTUBE;;CNAWAK;youtube;youtube;zdvIOSkIokg;16:9;
affaire-criminelles-2;Affaires Criminelles;;CNAWAK;reseaux-sociaux;reseaux-sociaux;;9:16;
short-paradox;Short Paradox;;;reseaux-sociaux;;YVII7AXfebE;9:16;https://youtube.com/shorts/YVII7AXfebE
mckskyz-jubillar-sms;PROFESSION GANGSTER MAP;;;youtube;Motion Design;;9:16;
affaire-criminelles;Affaires Criminelles;;;reseaux-sociaux;;;9:16;
soap-logo-amd;Soap Logo AMD;;;reseaux-sociaux;Motion Design;;9:16;
whentocop;Ad WhenToCop?;;;reseaux-sociaux;;ie7RGmuF5mU;9:16;https://youtube.com/shorts/ie7RGmuF5mU
experience-sociale;L'Expérience Sociale la plus Sombre filmée en Direct ...;;VZION;youtube;youtube;23B9GVwbv0Y;16:9;
incidents-tv-sombres;Les Incidents les plus Sombres de la TV (ft. @Feldup);;VZION;youtube;youtube;wzMZG1oWrHY;16:9;https://youtu.be/wzMZG1oWrHY
terry-davis;La Descente aux Enfers d'un YouTubeur Schizophrène : Terry Davis;;VZION;youtube;youtube;-TdTjfoCO0o;16:9;https://youtu.be/-TdTjfoCO0o
cancion-de-alicia;la Canción de Alicia : Le Lost Media qui hante Internet.;;VZION;youtube;youtube;vVLwAZ5LhPY;16:9;https://youtu.be/vVLwAZ5LhPY
creatures-entrepreneurs;Achille Magic : Faire des millions de vues sur Tiktok avec la magie;;Créateurs Entrepreneurs;youtube;youtube;Ex1jWi8KN-s;16:9;https://youtu.be/Ex1jWi8KN-s
into-the-wild;Into The Wild;;PROFESSION GANGSTER;youtube;MAP;;16:9;
mcskzyz-map-relief;MCKSKYZ MAP JAPON;;McSkyz;youtube;MAP;;16:9;
mckskyz-map-japon;MCSKYZ MAP RELIEF;;McSkyz;youtube;MAP;;16:9;
map-6;PROFESSION GANGSTER;;PROFESSION GANGSTER;youtube;MAP;;16:9;
map-2;PROFESSION GANGSTER MAP CARTEL CALI;;PROFESSION GANGSTER;youtube;MAP;;16:9;
lfh-map-3;Qu'est-il arrivé aux 269 passagers du vol Korean Air Lines 007 ?;;La Folle Histoire;youtube;MAP;;16:9;
jared-loughner;JARED-LOUGHNER_MAP_2_V.1;;VZION;youtube;MAP;;16:9;
project-06;Dead Memories;Zombies;Julien ROOSE;court-metrage;Zombies;21UWwfHygZA;16:9;https://youtu.be/21UWwfHygZA
derniere-dose;Derniere Dose;;Julien ROOSE;court-metrage;L'Amour;he4F0EQszoI;16:9;
idole;Idole;;Julien ROOSE;court-metrage;Les Rêves;OfcED3UO1E0;16:9;https://youtu.be/OfcED3UO1E0
project-02;Mono no Aware;Nikon Film Festival 2026;Julien ROOSE;court-metrage;Un Super Pouvoir, La Beauté;-NH-S3OIx7E;16:9;https://youtu.be/-NH-S3OIx7E
project-01;Behind The Screen;Nikon Film Festival 2025;Julien ROOSE;court-metrage;Amour, Les Rêves;lZfb5oRCKoY;16:9;https://youtu.be/lZfb5oRCKoY
